"Topic","Talk","Speaker","Date","URL"
"activation","Revealed Quorum Principles","Michael A. Neider","April 2009","https://www.lds.org/general-conference/2009/04/revealed-quorum-principles?lang=eng"
"activation","“Man Down!”","Henry B. Eyring","April 2009","https://www.lds.org/general-conference/2009/04/man-down?lang=eng"
"activation","Returning Home","Eduardo Gavarret","October 2008","https://www.lds.org/general-conference/2008/10/returning-home?lang=eng"
"activation","Remembering, Repenting, and Changing","Julie B. Beck","April 2007","https://www.lds.org/general-conference/2007/04/remembering-repenting-and-changing?lang=eng"
"activation","The Message of the Restoration","L. Tom Perry","April 2007","https://www.lds.org/general-conference/2007/04/the-message-of-the-restoration?lang=eng"
"activation","“Feed My Sheep”","Ulisses Soares","October 2005","https://www.lds.org/general-conference/2005/10/feed-my-sheep?lang=eng"
"activation","“If Christ Had My Opportunities …”","Paul K. Sybrowsky","October 2005","https://www.lds.org/general-conference/2005/10/if-christ-had-my-opportunities?lang=eng"
"activation","The Worth of Souls","Harold G. Hillam","April 2005","https://www.lds.org/general-conference/2005/04/the-worth-of-souls?lang=eng"
"activation","Strengthen Thy Brethren","Robert J. Whetten","April 2005","https://www.lds.org/general-conference/2005/04/strengthen-thy-brethren?lang=eng"
"activation","The Sacred Call of Service","Thomas S. Monson","April 2005","https://www.lds.org/general-conference/2005/04/the-sacred-call-of-service?lang=eng"
"activation","“Feed My Sheep”","Ned B. Roueché","October 2004","https://www.lds.org/general-conference/2004/10/feed-my-sheep?lang=eng"
"activation","Anxiously Engaged","Thomas S. Monson","October 2004","https://www.lds.org/general-conference/2004/10/anxiously-engaged?lang=eng"
"activation","Strengthen Thy Brethren","Mervyn B. Arnold","April 2004","https://www.lds.org/general-conference/2004/04/strengthen-thy-brethren?lang=eng"
"activation","“Abide in Me”","Jeffrey R. Holland","April 2004","https://www.lds.org/general-conference/2004/04/abide-in-me?lang=eng"
"activation","Your Personal Influence","Thomas S. Monson","April 2004","https://www.lds.org/general-conference/2004/04/your-personal-influence?lang=eng"
"activation","Bring Him Home","Thomas S. Monson","October 2003","https://www.lds.org/general-conference/2003/10/bring-him-home?lang=eng"
"activation","The Condition of the Church","Gordon B. Hinckley","April 2003","https://www.lds.org/general-conference/2003/04/the-condition-of-the-church?lang=eng"
"activation","Stand in Your Appointed Place","Thomas S. Monson","April 2003","https://www.lds.org/general-conference/2003/04/stand-in-your-appointed-place?lang=eng"
"activation","A Comforter, a Guide, a Testifier","Margaret D. Nadauld","April 2001","https://www.lds.org/general-conference/2001/04/a-comforter-a-guide-a-testifier?lang=eng"
"activation","“Witnesses unto Me”","Jeffrey R. Holland","April 2001","https://www.lds.org/general-conference/2001/04/witnesses-unto-me?lang=eng"
"activation","Sharing the Gospel","Robert C. Oaks","October 2000","https://www.lds.org/general-conference/2000/10/sharing-the-gospel?lang=eng"
"activation","Keep an Eternal Perspective","Jay E. Jensen","April 2000","https://www.lds.org/general-conference/2000/04/keep-an-eternal-perspective?lang=eng"
"activation","The Faith of a Sparrow: Faith and Trust in the Lord Jesus Christ","H. Bruce Stucki","October 1999","https://www.lds.org/general-conference/1999/10/the-faith-of-a-sparrow-faith-and-trust-in-the-lord-jesus-christ?lang=eng"
"activation","“Feed My Sheep”","Ben B. Banks","October 1999","https://www.lds.org/general-conference/1999/10/feed-my-sheep?lang=eng"
"activation","He Lives","Richard G. Scott","October 1999","https://www.lds.org/general-conference/1999/10/he-lives?lang=eng"
"activation","Fellowshipping","Ned B. Roueché","April 1999","https://www.lds.org/general-conference/1999/04/fellowshipping?lang=eng"
